category,units_sold,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,seasonality_index,month_sin,month_cos,dow_sin,dow_cos,is_weekend,is_holiday,days_to_holiday,trend_strength,acceleration
auto,0.208754885663661,0.020833333333333332,0.057291666666666664,0.125,0.057291666666666664,0.07302231237322515,0.37050691244239636,0.04839552031807968,0.20843776931311142,0.8964259664478484,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,10,0.1597310867160242,0.45588235294117646
bed_bath_table,0.34046455423227234,0.03645833333333333,0.14583333333333331,0.16145833333333331,0.09895833333333333,0.127789046653144,0.6608294930875576,0.08323110040005743,0.29923683358953135,0.701677607585704,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,10,0.04101778572036424,0.41470588235294115
computers_accessories,0.13170966856861138,0.015625,0.046875,0.07291666666666666,0.109375,0.07505070993914807,0.4064516129032258,0.05315962680616647,0.2537319217990454,0.6396790663749089,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,9,0.1390519955748447,0.4588235294117647
furniture_decor,0.26341933713722276,0.010416666666666666,0.0625,0.125,0.07291666666666666,0.12170385395537525,0.4672811059907834,0.10522770461982558,0.22084450301400174,0.6921954777534647,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,0,12,0.158454599608544,0.44705882352941173
garden_tools,0.13170966856861138,0.03125,0.020833333333333332,0.03645833333333333,0.041666666666666664,0.05882352941176471,0.17161925949467663,0.036626487964882805,0.10751975101030005,0.5302698760029176,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,15,0.27040692061423977,0.48235294117647054
health_beauty,0.3951290057058341,0.03645833333333333,0.09895833333333333,0.14583333333333331,0.14583333333333331,0.16430020283975658,0.7953917050691245,0.08223428479568023,0.3609359895983683,0.8716265499635303,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,9,0.0,0.4411764705882353
housewares,0.417509771327322,0.06770833333333333,0.11458333333333333,0.171875,0.13541666666666666,0.18052738336713994,0.6322580645161291,0.1273536427886003,0.2776758650141466,0.9277899343544858,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,10,0.12586162879754914,0.44999999999999996
sports_leisure,0.13170966856861138,0.015625,0.05208333333333333,0.109375,0.109375,0.08924949290060852,0.45622119815668205,0.07583439147979319,0.23377856635280675,0.6958424507658644,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,9,0.1247553399710663,0.45588235294117646
telephony,0.208754885663661,0.005208333333333333,0.07291666666666666,0.0625,0.03125,0.038539553752535496,0.27926267281105993,0.0190490065747531,0.1689951766301463,0.5703865791393145,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,10,0.1753042294272828,0.43823529411764706
watches_gifts,0.208754885663661,0.005208333333333333,0.0625,0.109375,0.08854166666666666,0.060851926977687626,0.4036866359447005,0.060602228580879325,0.2447993630458344,0.7031363967906639,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,9,0.12296825802059402,0.4441176470588235
