mape,smape,rmse,mae,mase,bias,model,n_folds,category,coverage_90
13.825843619227465,12.948005063545965,0.45586908875587745,0.3800110617567769,1.2128015624716686,-0.027516422470800536,Last_Value,3,bed_bath_table,
15.545158244289572,14.45910711749896,0.49643042590538317,0.4265751087716911,1.3611775444055088,0.02548872429899407,Average_Demand,3,bed_bath_table,
16.225387576046728,15.108386073438894,0.566524913610775,0.44720530754323057,1.427249152145638,-0.015634375438108892,Seasonal_Naive,3,bed_bath_table,
17.94296865165305,17.794991498117156,0.6153116242399638,0.5241554951176992,1.6732772460700442,-0.15323426264335135,Prophet,3,bed_bath_table,57.77777777777777
16.706682238929904,17.476273080203466,0.6348189675981438,0.5371988161892309,1.671999035957351,-0.34088334496724343,Last_Value,3,health_beauty,
12.877188621793067,12.437446611291563,0.473310884522329,0.3938325294778122,1.225768017860988,-0.0625720834331599,Average_Demand,3,health_beauty,
18.724651005882038,19.38529264273036,0.723604402562635,0.5865067863451621,1.824786828362436,-0.24311368744431697,Seasonal_Naive,3,health_beauty,
16.664545704085967,17.224554847938975,0.5945073262088969,0.5278140440562301,1.6417835827804224,-0.2933362424821367,Prophet,3,health_beauty,62.22222222222223
19.440524880947116,15.165732260798661,0.51836859980423,0.3840611897166282,1.1123589406290746,0.039842261128638944,Last_Value,3,sports_leisure,
17.55310645238958,14.46372354381503,0.4658916855362407,0.36150266534137016,1.0471264301720191,-0.009100588390442916,Average_Demand,3,sports_leisure,
22.115606165622648,20.062672704729128,0.6265218836227273,0.46481696940932277,1.3451106791028693,-0.10669493968862576,Seasonal_Naive,3,sports_leisure,
19.262044245963505,18.365294750299316,0.5321699783816588,0.45194453702895027,1.3083714468074803,-0.29703695504259714,Prophet,3,sports_leisure,72.22222222222221
23.5476853979591,18.77396903819316,0.625025913496798,0.4818881119533213,1.3138621126211056,0.24072876142315314,Last_Value,3,furniture_decor,
21.64013128606554,19.034349632679227,0.5806639634977175,0.47745967552888297,1.301507426625044,0.06639243336417927,Average_Demand,3,furniture_decor,
20.30400602182493,18.077860275132394,0.5549774288101502,0.4425484409937767,1.2066521743347767,0.01453170177860707,Seasonal_Naive,3,furniture_decor,
18.081642635178778,15.068790971657428,0.4982127793210875,0.36859756288698103,1.0050398104727833,0.11865813081652009,Prophet,3,furniture_decor,83.33333333333333
35.805773309566234,36.864496114746444,0.9512195171346365,0.8183817095988776,1.991264290577444,-0.4234575425269244,Last_Value,3,computers_accessories,
20.276058042290995,16.997438455752906,0.5150445177397581,0.41333353130225087,1.0044125261698478,0.0008664287665314392,Average_Demand,3,computers_accessories,
24.75960674419149,22.552599246067828,0.6775745387098264,0.5270994749396323,1.2821640574923163,-0.13201329503552556,Seasonal_Naive,3,computers_accessories,
17.67613607327708,16.378594317432132,0.48872154937608886,0.391688809177289,0.9515650905798871,-0.20748120360842784,Prophet,3,computers_accessories,84.44444444444444
13.785465980526972,12.338309899164983,0.46705340138025697,0.35240793935486564,0.8506690699878267,0.1192333780455072,Last_Value,3,housewares,
13.941180317616263,13.395353877299028,0.4580345226135712,0.3823348136289455,0.9234972946849966,-0.03791648576917539,Average_Demand,3,housewares,
15.91618036207567,15.439409162121146,0.5347502093708624,0.4299894992705546,1.036004056683036,-0.04045208689659837,Seasonal_Naive,3,housewares,
14.286506157993115,15.449390686776697,0.510697482225983,0.4364411407700916,1.0539574696679421,-0.3345829165716317,Prophet,3,housewares,81.1111111111111
33.13402377274044,30.701782857397543,0.8590822281360867,0.7068100727973907,1.9905936408322713,-0.21084962717541286,Last_Value,3,watches_gifts,
21.863563262724494,16.0921802639261,0.5384030970673906,0.39243171925612913,1.1069009545158675,0.1095333539304434,Average_Demand,3,watches_gifts,
26.622280940848754,23.586196789756197,0.7074638143844383,0.5648493230053778,1.591515372162262,-0.1387472208950792,Seasonal_Naive,3,watches_gifts,
21.72414518911293,16.65108823112256,0.5253023863514291,0.406854233243313,1.147498935148538,-0.024720969746848037,Prophet,3,watches_gifts,91.11111111111113
31.62082071891756,24.713109482411777,0.5893973418597905,0.4672295755508462,1.2682798126122814,0.030579922406657783,Last_Value,3,telephony,
31.173773790314403,25.248844553848773,0.5908173261076525,0.47658837412756067,1.2933073490495135,-0.02969880498466439,Average_Demand,3,telephony,
34.264809072400176,29.477445276785904,0.6627872098953773,0.5329575142537633,1.448944104914142,-0.08803706768044929,Seasonal_Naive,3,telephony,
31.752565210026123,34.21267963803777,0.7041994128676891,0.6211180070975518,1.6872353728775742,-0.4708529275767881,Prophet,3,telephony,45.55555555555555
34.80767482753553,28.179095837787276,0.666018047754445,0.5066529649121413,1.1842302780974556,0.17299411039372595,Last_Value,3,garden_tools,
34.56963674718318,26.845031639923878,0.5834960561694457,0.4780602743693427,1.1182395246507193,0.20079777461668036,Average_Demand,3,garden_tools,
33.93302719518151,29.183053454979287,0.6508629571300611,0.49760083055413823,1.1627119745311651,0.062421157938715714,Seasonal_Naive,3,garden_tools,
