date,actual,predicted,lower_90,upper_90,residual,fold,category
2018-05-31,2.70805020110221,3.0345299026186487,2.4492906815952438,3.5902989612329104,-0.3264797015164387,1,bed_bath_table
2018-06-01,2.9444389791664403,2.9486745083996055,2.3591854738837315,3.574905085475592,-0.0042355292331652805,1,bed_bath_table
2018-06-02,2.9444389791664403,2.8082233829935124,2.2324877034457224,3.395375606175051,0.1362155961729279,1,bed_bath_table
2018-06-03,3.044522437723423,2.802885602540894,2.2038616779374203,3.412443451908357,0.2416368351825291,1,bed_bath_table
2018-06-04,3.4011973816621555,2.988655562570512,2.3947077067990317,3.548022851494369,0.41254181909164345,1,bed_bath_table
2018-06-05,3.4965075614664802,2.969338132480281,2.394230739986159,3.544097998797026,0.5271694289861992,1,bed_bath_table
2018-06-06,3.3322045101752042,2.8910136296502267,2.3276965898142237,3.4896927625848937,0.44119088052497757,1,bed_bath_table
2018-06-07,3.526360524616161,2.8306586833268548,2.2385799970541553,3.4022240706818994,0.6957018412893063,1,bed_bath_table
2018-06-08,2.8903717578961645,2.736843272799723,2.2004351531753557,3.3652349912352895,0.15352848509644135,1,bed_bath_table
2018-06-09,3.367295829986474,2.591299961166279,1.9747639896207565,3.152310556789307,0.7759958688201953,1,bed_bath_table
2018-06-10,3.4965075614664802,2.5840151977335717,1.9513852106945555,3.1682861553715806,0.9124923637329085,1,bed_bath_table
2018-06-11,3.526360524616161,2.7711910570243634,2.2135598650028054,3.3450083874321934,0.7551694675917977,1,bed_bath_table
2018-06-12,3.295836866004329,2.7567626181217406,2.1934291933117454,3.3587360067160112,0.5390742478825885,1,bed_bath_table
2018-06-13,3.3322045101752042,2.6868571985661003,2.10170167182815,3.2659552223307236,0.645347311609104,1,bed_bath_table
2018-06-14,3.5553480614894135,2.638411710096843,2.032421958020443,3.223172146758048,0.9169363513925703,1,bed_bath_table
2018-06-15,2.8903717578961645,2.559868554573364,1.9677553761595745,3.087890268899233,0.3305032033228006,1,bed_bath_table
2018-06-16,3.2188758248682006,2.4327461473381717,1.8356747096253858,3.002981329188744,0.7861296775300288,1,bed_bath_table
2018-06-17,3.091042453358316,2.4467339367107312,1.889485963765357,3.009817229592614,0.6443085166475848,1,bed_bath_table
2018-06-18,3.6109179126442243,2.657660212429599,2.1168285724413187,3.275091161211176,0.9532577002146252,1,bed_bath_table
2018-06-19,3.4011973816621555,2.669017762510208,2.0830029042719485,3.271581105819545,0.7321796191519474,1,bed_bath_table
2018-06-20,3.663561646129646,2.626433383053099,2.0487102292773676,3.233192554031535,1.0371282630765468,1,bed_bath_table
2018-06-21,3.295836866004329,2.6062972388962384,1.9799926455591412,3.163322113907603,0.6895396271080907,1,bed_bath_table
2018-06-22,2.833213344056216,2.5564721717653427,1.9622029257457343,3.167480242134499,0.27674117229087347,1,bed_bath_table
2018-06-23,2.9444389791664403,2.4578786783182043,1.8511784303255168,3.0369301419836585,0.486560300848236,1,bed_bath_table
2018-06-24,3.4339872044851463,2.499605029070291,1.946801275296184,3.095595735306208,0.9343821754148554,1,bed_bath_table
2018-06-25,2.833213344056216,2.73689040191552,2.1457986631020267,3.345879989722221,0.09632294214069637,1,bed_bath_table
2018-06-26,3.713572066704308,2.7726656612713256,2.201621364184544,3.3378894011158797,0.9409064054329823,1,bed_bath_table
2018-06-27,2.833213344056216,2.7520373621033607,2.1292449475178934,3.3432990256327324,0.08117598195285547,1,bed_bath_table
2018-06-28,3.465735902799727,2.750930566921124,2.1418679708440616,3.328781715714908,0.7148053358786028,1,bed_bath_table
2018-06-29,2.9957322735539904,2.7168101901785926,2.1412719031466256,3.3029188925873405,0.2789220833753978,1,bed_bath_table
2018-06-30,2.6390573296152584,3.0969885837536193,2.4994020907907863,3.670098379471331,-0.4579312541383609,2,bed_bath_table
2018-07-01,2.9957322735539904,3.1455849090222694,2.55268688792942,3.71706299424334,-0.14985263546827898,2,bed_bath_table
2018-07-02,2.9957322735539904,3.3731044597085793,2.783759674055352,3.989907900467612,-0.3773721861545889,2,bed_bath_table
2018-07-03,3.2188758248682006,3.4090944161469254,2.8353775055555412,4.026337679077903,-0.19021859127872487,2,bed_bath_table
2018-07-04,3.6375861597263857,3.3737546137888033,2.7718361235313353,3.9366182808665497,0.2638315459375824,2,bed_bath_table
2018-07-05,3.091042453358316,3.366977277438101,2.7997519800549213,3.9421112462050196,-0.27593482407978476,2,bed_bath_table
2018-07-06,2.0794415416798357,3.2985129529407176,2.69325285896131,3.868730361687732,-1.2190714112608818,2,bed_bath_table
2018-07-07,2.1972245773362196,3.216087009333141,2.6590196742393926,3.7984455864516966,-1.0188624319969213,2,bed_bath_table
2018-07-08,2.302585092994046,3.2558045771058395,2.670249375379823,3.8481185854928275,-0.9532194841117936,2,bed_bath_table
2018-07-09,2.4849066497880004,3.472546362980898,2.932237536016959,4.038468946198716,-0.9876397131928978,2,bed_bath_table
2018-07-10,2.302585092994046,3.4961298398798104,2.910608661930589,4.028792318462484,-1.1935447468857645,2,bed_bath_table
2018-07-11,2.302585092994046,3.447061350513158,2.8582756207104856,4.02009859380836,-1.1444762575191123,2,bed_bath_table
2018-07-12,2.0794415416798357,3.4255665610369497,2.8171017111030987,4.026511363697803,-1.346125019357114,2,bed_bath_table
2018-07-13,2.1972245773362196,3.3417463879809888,2.7167213732155093,3.9287281899201143,-1.1445218106447692,2,bed_bath_table
2018-07-14,2.9957322735539904,3.243683079624308,2.6886071907306883,3.8305011981866133,-0.2479508060703175,2,bed_bath_table
2018-07-15,2.833213344056216,3.2678346380265677,2.6656379714992178,3.835544472071461,-0.43462129397035154,2,bed_bath_table
2018-07-16,2.9957322735539904,3.4694203451992367,2.9002825386463913,4.0637932194320845,-0.4736880716452463,2,bed_bath_table
2018-07-17,3.2188758248682006,3.478572207755448,2.8919108606186112,4.078775602509616,-0.2596963828872476,2,bed_bath_table
2018-07-18,3.784189633918261,3.4160781569945105,2.82320177979703,4.022741347756572,0.36811147692375057,2,bed_bath_table
2018-07-19,3.526360524616161,3.3824047130098145,2.8142794454968962,3.9946089506792966,0.14395581160634663,2,bed_bath_table
2018-07-20,2.8903717578961645,3.2878464733755566,2.7022651234887096,3.870119640598692,-0.39747471547939206,2,bed_bath_table
2018-07-21,2.6390573296152584,3.18062730276034,2.5948389757595804,3.7378505370473856,-0.5415699731450814,2,bed_bath_table
2018-07-22,3.526360524616161,3.1972915565832563,2.6298595444995643,3.770231750969695,0.32906896803290486,2,bed_bath_table
2018-07-23,3.295836866004329,3.393088196225324,2.8297452980896973,3.9698262527963553,-0.09725133022099497,2,bed_bath_table
2018-07-24,3.1780538303479458,3.398122648264313,2.793294412419138,3.9607704718900703,-0.22006881791636745,2,bed_bath_table
2018-07-25,3.044522437723423,3.333102225665919,2.7685858875829554,3.91470514017254,-0.28857978794249606,2,bed_bath_table
2018-07-26,3.091042453358316,3.298362743786542,2.726312578103793,3.833869859749185,-0.20732029042822608,2,bed_bath_table
2018-07-27,3.2188758248682006,3.2040235615510113,2.6459124465673103,3.7639852182089997,0.014852263317189252,2,bed_bath_table
2018-07-28,2.8903717578961645,3.098095743396118,2.50843907523229,3.6973620100012465,-0.2077239854999533,2,bed_bath_table
2018-07-29,2.9957322735539904,3.116881449282387,2.5130831693749243,3.6967410350449845,-0.12114917572839667,2,bed_bath_table
2018-07-30,3.4965075614664802,3.1159133528994607,2.5599249377328808,3.736799443236341,0.38059420856701953,3,bed_bath_table
2018-07-31,3.4339872044851463,3.127298407134492,2.548603756153546,3.733740219224215,0.30668879735065424,3,bed_bath_table
2018-08-01,3.1354942159291497,3.077023739190288,2.4665413187909975,3.6694076485473777,0.05847047673886152,3,bed_bath_table
2018-08-02,3.295836866004329,3.03272306663877,2.4192481017255894,3.5952336881677276,0.26311379936555923,3,bed_bath_table
2018-08-03,3.2188758248682006,2.924228125514654,2.3011408823368114,3.537307655734206,0.2946476993535465,3,bed_bath_table
2018-08-04,3.465735902799727,2.8159048115986267,2.2529814567657285,3.421906835697396,0.6498310912011003,3,bed_bath_table
2018-08-05,3.4965075614664802,2.839555459905984,2.2246097249062693,3.4508387453676255,0.6569521015604964,3,bed_bath_table
2018-08-06,3.3322045101752042,3.018738068608828,2.4056683481687027,3.6296592083776913,0.3134664415663764,3,bed_bath_table
2018-08-07,3.526360524616161,3.0148043833326703,2.362167642102837,3.595922814096834,0.5115561412834908,3,bed_bath_table
