category,baseline_mape,lstm_mape,gbm_mape,best_model,margin_pp,margin_pct,noise_threshold_pp,threshold_source,margin_is_genuine
auto,17.20800605880342,19.65834172566732,15.793595790526696,no_clear_winner,1.4144102682767237,8.219489599453782,5.15250424695116,gbm_cv,False
bed_bath_table,13.825843619227465,19.837555567423504,17.41320871165453,no_clear_winner,3.5873650924270652,20.6014017969363,5.15250424695116,gbm_cv,False
computers_accessories,17.67613607327708,20.61850929260254,16.027307414968828,no_clear_winner,1.6488286583082505,9.327992562814465,5.15250424695116,gbm_cv,False
furniture_decor,18.081642635178778,20.25237687428792,18.137633495572025,no_clear_winner,0.05599086039324774,0.3086999216679337,5.15250424695116,gbm_cv,False
garden_tools,27.753372849594115,24.989413897196453,23.28018317219137,no_clear_winner,1.7092307250050816,6.839819181180712,5.15250424695116,gbm_cv,False
health_beauty,12.877188621793067,19.136351267496742,17.633814223449146,no_clear_winner,4.756625601656079,26.974456809978182,5.15250424695116,gbm_cv,False
housewares,13.785465980526972,21.271578788757324,18.7825062140515,no_clear_winner,4.99704023352453,26.604757515193377,5.15250424695116,gbm_cv,False
sports_leisure,17.55310645238958,19.13680426279704,15.244446534961003,no_clear_winner,2.308659917428578,13.152429307544534,5.15250424695116,gbm_cv,False
telephony,31.173773790314403,21.08113670349121,26.961057187353152,lstm,5.879920483861941,21.808938881744165,5.15250424695116,gbm_cv,True
watches_gifts,21.72414518911293,18.40096632639567,16.2834027301251,no_clear_winner,2.1175635962705712,11.507893437275548,5.15250424695116,gbm_cv,False
