experiment,model_family,category,mape,smape,rmse,mae,bias,mase,baseline_mape,lift_label,forecast_skill_pct,noise_threshold_pp,model_directional_acc,persistence_directional_acc,directional_lift_pp,directional_flat_share_pct,directional_lift_label,directional_noise_threshold_pp,random_guess_directional_acc,directional_lift_vs_random_pp,directional_lift_vs_random_label,elapsed_sec
smoothed_noblend_v2,lightgbm,bed_bath_table,17.41320871165453,16.811640250360597,4.303433383207434,3.413614751809694,-1.4595121107235096,3.832696333679344,19.309044637237207,no_signal,9.818382841824217,5.15250424695116,47.142857142857146,12.953761214630779,34.18909592822636,12.953761214630779,genuine_beat,5.587595600196903,33.333333333333336,13.809523809523808,genuine_beat,49
smoothed_noblend_v2,lightgbm,health_beauty,17.633814223449146,19.758299388599063,6.396712635013579,5.0220943150345425,-3.852116545603059,7.106673679145163,18.43435932437477,no_signal,4.342679269938645,5.15250424695116,52.028985507246375,10.172532781228433,41.85645272601794,10.172532781228433,genuine_beat,5.587595600196903,33.333333333333336,18.695652173913043,genuine_beat,49
smoothed_noblend_v2,lightgbm,sports_leisure,15.244446534961005,14.074908892822142,2.573304167288886,1.9631805706494199,-0.14834081927426004,2.8693109587742676,18.69471136769226,no_signal,18.455833657287258,5.15250424695116,48.56452726017943,10.917874396135266,37.646652864044164,10.917874396135266,genuine_beat,5.587595600196903,33.333333333333336,15.231193926846098,genuine_beat,49
smoothed_noblend_v2,lightgbm,furniture_decor,18.137633495572025,16.524074216272485,2.8358181042677395,2.184520020219504,-0.22952339533203678,2.926864056647485,19.48181986676513,no_signal,6.899696128934077,5.15250424695116,46.88750862663906,11.055900621118013,35.83160800552105,11.055900621118013,genuine_beat,5.587595600196903,33.333333333333336,13.554175293305727,genuine_beat,49
smoothed_noblend_v2,lightgbm,computers_accessories,16.027307414968828,15.331996223457685,2.465583585395103,1.960158686703788,-0.29224235288213013,2.590860221432022,20.0259277838334,no_signal,19.96721656058598,5.15250424695116,51.566597653554176,10.331262939958592,41.235334713595584,10.331262939958592,genuine_beat,5.587595600196903,33.333333333333336,18.23326432022084,genuine_beat,49
smoothed_noblend_v2,lightgbm,housewares,18.7825062140515,19.020161019427295,4.2788548364018135,3.3443684265763927,-1.6343418967983627,5.173190412185016,20.83735940335251,no_signal,9.861389581687618,5.15250424695116,40.86266390614217,9.447895100069013,31.414768806073155,9.447895100069013,genuine_beat,5.587595600196903,33.333333333333336,7.529330572808831,genuine_beat,49
smoothed_noblend_v2,lightgbm,watches_gifts,16.2834027301251,15.008738672326627,2.9115862480357726,2.2323889597240965,0.2641340178506593,3.831068119069229,17.507692989634634,no_signal,6.992870278422007,5.15250424695116,43.333333333333336,10.289855072463768,33.04347826086956,10.289855072463768,genuine_beat,5.587595600196903,33.333333333333336,9.999999999999998,genuine_beat,49
smoothed_noblend_v2,lightgbm,telephony,26.961057187353152,25.506580973975304,2.349324801866412,1.8835833957627133,-0.4439733161866351,4.134734272456494,20.392226259482538,loses,-32.21242665849717,5.15250424695116,43.13319530710836,8.053830227743271,35.07936507936508,8.053830227743271,genuine_beat,5.587595600196903,33.333333333333336,9.799861973775016,genuine_beat,49
smoothed_noblend_v2,lightgbm,garden_tools,23.280183172191375,20.599008071019863,1.4703680099217085,1.165621509866918,0.4212477604868172,2.0010751297157525,23.433502642083358,no_signal,0.6542746606588897,5.15250424695116,49.33057280883367,5.790200138026226,43.54037267080745,5.790200138026226,genuine_beat,5.587595600196903,33.333333333333336,15.997239475500342,genuine_beat,49
smoothed_noblend_v2,lightgbm,auto,15.793595790526695,16.157618513189067,2.256747840716946,1.771701368672053,-0.6851590003347798,4.023488381436865,19.105644044768066,no_signal,17.335444157132983,5.15250424695116,54.59627329192546,8.737060041407867,45.8592132505176,8.737060041407867,genuine_beat,5.587595600196903,33.333333333333336,21.26293995859213,genuine_beat,49
