experiment,mode,category,mape,smape,rmse,mae,bias,mase,beats_baseline,forecast_skill_pct,is_overfit,best_epoch,normalization,elapsed_sec
smoothed,global,bed_bath_table,19.837555567423504,18.23181438446045,4.884254693984985,3.5854760011037192,-0.04003843665122986,4.0330015023549395,False,-2.7371317423144528,False,27,batch,1891
smoothed,global,health_beauty,19.136351267496746,18.986918767293293,6.309370358784993,4.905872662862142,-0.5179524421691895,6.945512771606445,False,-3.808057747298764,False,27,batch,1891
smoothed,global,sports_leisure,19.13680426279704,17.303412119547527,3.2098474899927774,2.3566924333572388,0.04914804299672445,3.443453232447306,False,-2.3648036721781525,False,27,batch,1891
smoothed,global,furniture_decor,20.252376874287922,18.604737281799316,2.9286288817723594,2.2396379709243774,0.19379239777723947,3.006417671839396,False,-3.9552606664519567,False,27,batch,1891
smoothed,global,computers_accessories,20.61850929260254,19.768734614054363,3.092341423034668,2.4083969990412393,0.047641863425572716,3.184000333150228,False,-2.9590775736371566,False,27,batch,1891
smoothed,global,housewares,21.271578788757324,19.41778341929118,4.325748920440674,3.3705097834269204,0.31301849832137424,5.22989543279012,False,-2.0838533350405695,False,27,batch,1891
smoothed,global,watches_gifts,18.40096632639567,17.113945960998535,3.2691733837127686,2.5387891928354898,0.2367729345957438,4.356205304463704,False,-5.1021915214668105,False,27,batch,1891
smoothed,global,telephony,21.08113670349121,20.10391394297282,1.9765758117039998,1.5000091393788655,0.05137648185094198,3.288879632949829,False,-3.3782995388021932,False,27,batch,1891
smoothed,global,garden_tools,24.989413897196453,22.763643264770508,1.613490382830302,1.301768918832143,0.3038117475807667,2.2342096964518228,False,-6.639693871107415,False,27,batch,1891
smoothed,global,auto,19.658341725667317,19.620249430338543,2.5499454339345298,2.048064351081848,-0.12048717339833577,4.661957820256551,False,-2.892852746697493,False,27,batch,1891
